UF;CIDADE;CIDADE_SIEBEL;ENCERRAMENTO;QTE
MG;DIVINOPOLIS;DIVINOPOLIS;2020-09-01;18243
RS;PELOTAS;PELOTAS;2020-11-01;8005
PB;CABEDELO;CABEDELO;2022-02-01;1
SC;TUBARAO;TUBARAO;2020-10-01;2121
RO;JI-PARANA;JI-PARANA;2022-01-01;10387
RJ;SAO PEDRO DA ALDEIA;SAO PEDRO DA ALDEIA;2020-03-01;6
PB;CAMPINA GRANDE;CAMPINA GRANDE;2020-10-01;469
DF;BRASILIA;BRASILIA;2021-12-01;41618
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2019-06-01;3774
AL;ARAPIRACA;ARAPIRACA;2021-05-01;741
RJ;NOVA IGUACU;NOVA IGUACU;2019-01-01;27
RJ;NOVA IGUACU;NOVA IGUACU;2019-09-01;2429
SC;FLORIANOPOLIS;FLORIANOPOLIS;2021-07-01;7238
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2019-09-01;63
AP;MACAPA;MACAPA;2020-10-01;16195
BA;PAULO AFONSO;PAULO AFONSO;2021-10-01;2673
RJ;BELFORD ROXO;BELFORD ROXO;2020-04-01;4199
TO;GURUPI;GURUPI;2022-01-01;2042
ES;SERRA;SERRA;2020-12-01;7697
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2021-09-01;15437
RJ;PETROPOLIS;JARDIM ARARAS;2021-07-01;399
BA;LAURO DE FREITAS;LAURO DE FREITAS;2020-01-01;359
CE;FORTALEZA;FORTALEZA;2020-05-01;35676
MS;MARACAJU;MARACAJU;2021-11-01;997
RJ;CABO FRIO;CABO FRIO;2020-04-01;13109
RO;PORTO VELHO;PORTO VELHO;2019-11-01;13244
MG;VARGINHA;VARGINHA;2020-02-01;4640
RS;PORTO ALEGRE;PORTO ALEGRE;2020-08-01;11689
MG;RIBEIRAO DAS NEVES;JUSTINOPOLIS;2021-02-01;36
RS;VIAMAO;VILA ELZA;2021-02-01;1
RN;NATAL;NATAL;2021-01-01;7264
SC;ITAJAI;ITAJAI;2021-05-01;8644
RS;VIAMAO;VILA ELZA;2021-08-01;1
RJ;PETROPOLIS;CORREIAS;2020-03-01;1
MG;UBA;UBA;2021-09-01;13988
RJ;NOVA FRIBURGO;NOVA FRIBURGO;2021-06-01;351
MA;SAO LUIS;SAO LUIS;2020-09-01;50880
AP;MACAPA;MACAPA;2020-03-01;7928
GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;2021-07-01;7901
RS;NOVO HAMBURGO;NOVO HAMBURGO;2021-09-01;20589
RJ;PETROPOLIS;PETROPOLIS;2019-03-01;7655
RJ;SAO PEDRO DA ALDEIA;SAO PEDRO DA ALDEIA;2019-12-01;1
RJ;BELFORD ROXO;BELFORD ROXO;2020-01-01;988
RJ;NILOPOLIS;NILOPOLIS;2020-04-01;21182
MG;VESPASIANO;VESPASIANO;2021-12-01;5416
RJ;DUQUE DE CAXIAS;XEREM;2021-12-01;1
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2019-11-01;55694
PA;ANANINDEUA;ANANINDEUA;2021-08-01;18289
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2019-03-01;18817
SC;CRICIUMA;CRICIUMA;2021-05-01;5761
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2021-12-01;5471
PE;PETROLINA;PETROLINA;2020-10-01;112
PE;RECIFE;RECIFE;2019-12-01;4970
RS;CAXIAS DO SUL;CAXIAS DO SUL;2019-07-01;20
RN;NATAL;NATAL;2019-11-01;2
PR;CURITIBA;CURITIBA;2021-07-01;102109
RJ;QUEIMADOS;QUEIMADOS;2020-08-01;6729
AP;MACAPA;MACAPA;2021-02-01;21174
MG;BELO HORIZONTE;BELO HORIZONTE;2018-09-01;3530
RJ;CABO FRIO;UNAMAR;2020-12-01;4250
RS;ALEGRETE;ALEGRETE;2021-11-01;1306
SC;CRICIUMA;CIDADE MINEIRA;2021-12-01;4
RJ;NITEROI;NITEROI;2019-11-01;9721
MG;CONTAGEM;CONTAGEM;2021-01-01;10734
RS;CACHOEIRINHA;CACHOEIRINHA;2022-02-01;784
RJ;BELFORD ROXO;BELFORD ROXO;2021-12-01;23365
RS;SAO LEOPOLDO;SAO LEOPOLDO;2019-08-01;536
RJ;NOVA FRIBURGO;NOVA FRIBURGO;2021-07-01;523
PR;MARINGA;MARINGA;2021-04-01;25698
PI;TERESINA;TERESINA;2022-01-01;33019
RS;ELDORADO DO SUL;ELDORADO DO SUL;2021-10-01;79
PR;MARINGA;MARINGA;2020-04-01;720
RJ;CABO FRIO;CAMINHO DE BUZIOS;2021-02-01;1534
ES;SERRA;CARAPINA;2021-02-01;28
PR;SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS;2022-02-01;58968
PI;TERESINA;TERESINA;2020-06-01;16584
PB;CAMPINA GRANDE;CAMPINA GRANDE;2021-05-01;1874
RS;SANTA MARIA;SANTA MARIA;2020-08-01;4069
GO;GOIANIA;GOIANIA;2019-04-01;2318
CE;FORTALEZA;FORTALEZA;2018-10-01;550
DF;BRASILIA;GAMA;2021-05-01;8
RJ;BARRA MANSA;BARRA MANSA;2021-10-01;3379
PR;TELEMACO BORBA;TELEMACO BORBA;2021-10-01;185
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2019-06-01;93
RJ;PETROPOLIS;PETROPOLIS;2021-12-01;37090
SC;CRICIUMA;CIDADE MINEIRA VELHA;2021-10-01;4
RO;PORTO VELHO;PORTO VELHO;2021-04-01;64623
MT;SINOP;SINOP;2020-05-01;1413
MG;MONTES CLAROS;MONTES CLAROS;2020-04-01;13268
RS;VIAMAO;VIAMAO;2021-11-01;29167
TO;PALMAS;PALMAS;2021-07-01;17028
PI;TERESINA;TERESINA;2020-08-01;20505
MG;RIBEIRAO DAS NEVES;JUSTINOPOLIS;2020-09-01;44
BA;PORTO SEGURO;PORTO SEGURO;2021-08-01;366
SE;ARACAJU;ARACAJU;2021-07-01;13082
RO;PORTO VELHO;PORTO VELHO;2019-06-01;930
DF;BRASILIA;RIACHO FUNDO;2022-01-01;3429
RJ;BELFORD ROXO;BELFORD ROXO;2019-08-01;5
RJ;BELFORD ROXO;BELFORD ROXO;2021-10-01;23029
MG;PATROCINIO;PATROCINIO;2021-08-01;5785
AL;ARAPIRACA;ARAPIRACA;2022-02-01;2156
TO;PALMAS;SANTO AMARO;2021-10-01;2
MG;UBA;UBA;2020-10-01;9826
BA;JUAZEIRO;JUAZEIRO;2020-03-01;3431
RJ;NITEROI;NITEROI;2019-09-01;7367
MG;LAGOA SANTA;LAGOA SANTA;2021-01-01;5
PI;TERESINA;TERESINA;2019-05-01;351
RS;PORTO ALEGRE;PORTO ALEGRE;2019-03-01;1171
PR;CURITIBA;CURITIBA;2019-01-01;620
AP;MACAPA;MACAPA;2021-09-01;28739
MG;BETIM;BETIM;2020-12-01;18409
PR;MEDIANEIRA;MEDIANEIRA;2022-02-01;1781
RS;CARAZINHO;CARAZINHO;2021-12-01;1330
PI;TERESINA;TERESINA;2019-09-01;3133
MG;BETIM;BETIM;2020-11-01;17787
RJ;TERESOPOLIS;TERESOPOLIS;2019-10-01;2129
MA;SAO LUIS;SAO LUIS;2021-03-01;66801
SC;LAURENTINO;LAURENTINO;2021-08-01;1
PA;MARABA;MARABA;2020-04-01;785
BA;JACOBINA;JACOBINA;2021-09-01;1761
MG;NOVA LIMA;SERRA DEL REI;2021-05-01;389
ES;VILA VELHA;VILA VELHA;2021-10-01;4695
SP;SAO PAULO;SAO PAULO;2021-08-01;4413
RO;JI-PARANA;JI-PARANA;2019-12-01;454
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2019-10-01;54650
DF;BRASILIA;PLANALTINA;2021-08-01;4243
RJ;TERESOPOLIS;TERESOPOLIS;2019-01-01;456
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2020-05-01;37903
MG;VESPASIANO;VESPASIANO;2019-09-01;3440
CE;FORTALEZA;FORTALEZA;2020-09-01;51484
MG;VESPASIANO;VESPASIANO;2019-01-01;187
RJ;CABO FRIO;CABO FRIO;2021-04-01;15131
RJ;MANGARATIBA;MANGARATIBA;2020-02-01;71
DF;BRASILIA;SOBRADINHO;2021-07-01;18394
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2020-10-01;11407
RS;ALVORADA;ALVORADA;2021-09-01;33063
SC;BLUMENAU;BLUMENAU;2021-09-01;25327
AM;MANAUS;MANAUS;2021-11-01;67862
PE;PETROLINA;PETROLINA;2022-01-01;1804
MG;BETIM;BETIM;2019-04-01;592
RS;CAXIAS DO SUL;CAXIAS DO SUL;2021-03-01;27092
TO;PALMAS;PALMAS;2020-10-01;12299
PR;COLOMBO;COLONIA FARIA;2021-08-01;1
RJ;SAO PEDRO DA ALDEIA;SAO PEDRO DA ALDEIA;2021-09-01;156
MT;BARRA DO GARCAS;BARRA DO GARCAS;2022-01-01;656
PR;COLOMBO;SANTA RITA;2021-09-01;39
RS;CAMAQUA;CAMAQUA;2021-10-01;587
RO;VILHENA;VILHENA;2020-06-01;170
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2019-05-01;2195
PE;PAULISTA;PAULISTA;2020-08-01;40
SC;CRICIUMA;CRICIUMA;2020-03-01;145
PE;RECIFE;RECIFE;2021-09-01;25187
RJ;BELFORD ROXO;BELFORD ROXO;2021-04-01;19886
RJ;BELFORD ROXO;BELFORD ROXO;2021-06-01;20952
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2021-01-01;12687
RS;PORTO ALEGRE;PORTO ALEGRE;2021-11-01;59677
CE;FORTALEZA;FORTALEZA;2022-02-01;80345
RJ;SAO GONCALO;SAO GONCALO;2021-03-01;19833
CE;FORTALEZA;FORTALEZA;2021-11-01;77782
PE;OLINDA;OLINDA;2020-10-01;15709
RJ;BARRA MANSA;BARRA MANSA;2019-11-01;611
DF;BRASILIA;CEILANDIA;2020-01-01;11
RJ;TERESOPOLIS;TERESOPOLIS;2021-12-01;7342
RJ;PETROPOLIS;PETROPOLIS;2021-07-01;35564
RJ;CABO FRIO;CABO FRIO;2019-08-01;7989
MA;SAO LUIS;SAO LUIS;2020-11-01;57468
RJ;PETROPOLIS;CORREIAS;2020-10-01;2732
PE;OLINDA;OLINDA;2020-03-01;10971
ES;SERRA;CARAPINA;2021-04-01;26
TO;PALMAS;PALMAS;2019-07-01;1026
RJ;BARRA MANSA;BARRA MANSA;2020-12-01;3207
PB;JOAO PESSOA;JOAO PESSOA;2021-09-01;8057
RS;SAO LOURENCO DO SUL;SAO LOURENCO DO SUL;2022-02-01;1148
MG;GOVERNADOR VALADARES;GOVERNADOR VALADARES;2020-09-01;8617
MG;VARGINHA;VARGINHA;2021-01-01;10014
MG;LEOPOLDINA;LEOPOLDINA;2019-10-01;937
PE;OLINDA;OLINDA;2022-02-01;19461
MG;SETE LAGOAS;SETE LAGOAS;2021-11-01;24641
RR;BOA VISTA;BOA VISTA;2021-01-01;40189
PR;FOZ DO IGUACU;FOZ DO IGUACU;2021-05-01;5640
DF;BRASILIA;PLANALTINA;2021-05-01;321
CE;FORTALEZA;FORTALEZA;2021-02-01;64190
RS;CANOAS;CANOAS;2021-08-01;42315
DF;BRASILIA;GUARA;2021-09-01;4
MT;CUIABA;CUIABA;2019-11-01;1
SC;CRICIUMA;CRICIUMA;2020-09-01;2126
PR;PONTA GROSSA;PONTA GROSSA;2020-05-01;3170
PR;CURITIBA;CURITIBA;2019-12-01;13932
GO;ANAPOLIS;ANAPOLIS;2021-10-01;4415
RJ;MARICA;ITAIPUACU;2022-02-01;1
RJ;MANGARATIBA;MANGARATIBA;2019-07-01;22
MG;JUIZ DE FORA;JUIZ DE FORA;2020-01-01;9020
TO;PALMAS;PALMAS;2020-11-01;12718
CE;FORTALEZA;FORTALEZA;2018-08-01;230
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2020-12-01;61887
RJ;CABO FRIO;CAMINHO DE BUZIOS;2020-04-01;1
PR;FOZ DO IGUACU;FOZ DO IGUACU;2020-09-01;268
RO;PORTO VELHO;PORTO VELHO;2020-10-01;51084
MG;LEOPOLDINA;LEOPOLDINA;2019-12-01;1489
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2020-02-01;36006
SC;CHAPECO;CHAPECO;2020-11-01;2330
RS;SAO LOURENCO DO SUL;SAO LOURENCO DO SUL;2021-07-01;950
PR;ALMIRANTE TAMANDARE;ALMIRANTE TAMANDARE;2021-07-01;9181
SC;LAURENTINO;LAURENTINO;2021-12-01;1
RS;PELOTAS;PELOTAS;2022-02-01;17684
RJ;PETROPOLIS;PEDRO DO RIO;2022-02-01;5
MG;DIVINOPOLIS;DIVINOPOLIS;2021-10-01;24296
RJ;BARRA MANSA;BARRA MANSA;2020-11-01;3180
RJ;BELFORD ROXO;VILAR DOS TELES;2018-08-01;9963
RJ;BARRA DO PIRAI;BARRA DO PIRAI;2021-12-01;3637
ES;CARIACICA;ITAQUARI;2021-07-01;79
MG;POCOS DE CALDAS;POCOS DE CALDAS;2018-12-01;852
ES;SERRA;JACARAIPE;2021-07-01;3
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2021-08-01;2684
GO;SANTO ANTONIO DO DESCOBERTO;SANTO ANTONIO DO DESCOBERTO;2021-11-01;1141
BA;JEQUIE;JEQUIE;2021-12-01;6244
TO;PALMAS;SANTO AMARO;2021-09-01;2
RJ;ARARUAMA;ARARUAMA;2022-02-01;1759
RJ;PETROPOLIS;CORREIAS;2022-02-01;3254
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2018-08-01;17364
AC;RIO BRANCO;RIO BRANCO;2021-04-01;32832
MG;DIVINOPOLIS;DIVINOPOLIS;2021-06-01;23041
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2018-10-01;26699
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2021-11-01;71799
RJ;CABO FRIO;CABO FRIO;2019-04-01;4649
RJ;TERESOPOLIS;TERESOPOLIS;2021-08-01;7027
RJ;PETROPOLIS;PETROPOLIS;2018-09-01;2350
AC;RIO BRANCO;RIO BRANCO;2020-01-01;7610
MG;PATROCINIO;PATROCINIO;2020-06-01;4419
RJ;VOLTA REDONDA;VOLTA REDONDA;2020-10-01;17839
MT;CUIABA;CUIABA;2021-10-01;13890
MG;VESPASIANO;VESPASIANO;2022-01-01;5393
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2021-04-01;6059
MG;CATAGUASES;CATAGUASES;2021-11-01;5943
RJ;BELFORD ROXO;BELFORD ROXO;2020-07-01;9616
PR;LONDRINA;LONDRINA;2021-11-01;1194
RJ;MANGARATIBA;PORTO BELO;2021-07-01;194
;;;2021-05-01;1
RJ;ANGRA DOS REIS;CUNHAMBEBE;2021-07-01;1
RS;SANTO ANGELO;SANTO ANGELO;2021-05-01;3834
PR;BANDEIRANTES;SANTA RITA;2019-09-01;1
ES;VILA VELHA;VILA VELHA;2021-09-01;3951
RJ;MESQUITA;MESQUITA;2021-07-01;9607
SC;BRUSQUE;BRUSQUE;2021-08-01;8834
RJ;COMENDADOR LEVY GASPARIAN;COMENDADOR LEVY GASPARIAN;2019-05-01;2
SC;RIO DO SUL;RIO DO SUL;2021-07-01;6319
RJ;VOLTA REDONDA;VOLTA REDONDA;2019-07-01;1390
GO;GOIANIA;GOIANIA;2020-04-01;16243
PR;COLOMBO;COLOMBO;2021-07-01;44221
MG;POCOS DE CALDAS;POCOS DE CALDAS;2019-06-01;1923
SC;JOINVILLE;JOINVILLE;2021-12-01;18302
MG;LAGOA SANTA;LAGOA SANTA;2020-10-01;6
BA;BARREIRAS;BARREIRAS;2019-10-01;3090
AM;MANAUS;MANAUS;2018-10-01;208
MT;CUIABA;CUIABA;2020-03-01;207
SC;CRICIUMA;CIDADE MINEIRA;2020-09-01;6
DF;BRASILIA;CEILANDIA;2019-08-01;62
MG;DIVINOPOLIS;DIVINOPOLIS;2021-01-01;20630
DF;BRASILIA;SOBRADINHO;2020-10-01;14203
MG;JUIZ DE FORA;JUIZ DE FORA;2019-12-01;7562
PR;PAICANDU;PAICANDU;2021-11-01;1644
PA;BELEM;BELEM;2019-10-01;8610
MG;NOVA LIMA;NOVA LIMA;2019-05-01;1178
PI;PARNAIBA;PARNAIBA;2022-01-01;9731
DF;BRASILIA;SOBRADINHO;2022-02-01;19215
PI;TERESINA;TERESINA;2021-08-01;32283
SC;CRICIUMA;CIDADE MINEIRA VELHA;2021-04-01;4
SC;CRICIUMA;CIDADE MINEIRA VELHA;2021-09-01;4
GO;GOIANIA;GOIANIA;2019-08-01;4140
MG;BELO HORIZONTE;BELO HORIZONTE;2019-09-01;8546
MS;CAMPO GRANDE;CAMPO GRANDE;2021-01-01;22213
RS;PORTO ALEGRE;PORTO ALEGRE;2020-09-01;14332
PE;PAULISTA;PAULISTA;2021-07-01;401
MG;BELO HORIZONTE;BELO HORIZONTE;2019-01-01;3211
RS;VIAMAO;VILA ELZA;2020-12-01;1
GO;JATAI;JATAI;2021-09-01;2207
GO;TRINDADE;TRINDADE;2022-01-01;1690
SC;LAGES;LAGES;2020-03-01;249
BA;JEQUIE;JEQUIE;2019-10-01;147
MG;MONTES CLAROS;MONTES CLAROS;2021-01-01;21358
MG;PATROCINIO;PATROCINIO;2021-12-01;5665
BA;SALVADOR;SALVADOR;2021-02-01;79717
RS;PORTO ALEGRE;PORTO ALEGRE;2020-06-01;8891
RS;ALEGRETE;ALEGRETE;2021-09-01;213
DF;BRASILIA;TAGUATINGA;2020-07-01;60
MG;SAO JOAO DEL REI;SAO JOAO DEL REI;2019-02-01;6
PR;JANDAIA DO SUL;JANDAIA DO SUL;2021-11-01;133
RJ;VOLTA REDONDA;VOLTA REDONDA;2020-02-01;10315
PR;CURITIBA;CURITIBA;2020-07-01;40575
MT;JUINA;JUINA;2021-11-01;242
PE;PETROLINA;PETROLINA;2021-10-01;1608
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2020-04-01;3538
AL;MARECHAL DEODORO;MARECHAL DEODORO;2022-01-01;309
PA;MARABA;MARABA;2021-10-01;13464
BA;EUNAPOLIS;EUNAPOLIS;2021-07-01;7109
MG;SETE LAGOAS;SETE LAGOAS;2021-05-01;24243
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2019-08-01;466
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2019-10-01;127
MG;BETIM;BETIM;2021-06-01;24178
MT;SINOP;SINOP;2021-11-01;8230
SC;LAURENTINO;LAURENTINO;2021-02-01;3
RS;ALVORADA;ALVORADA;2019-08-01;2751
AL;MACEIO;MACEIO;2021-08-01;6332
DF;BRASILIA;CEILANDIA;2021-04-01;32654
RS;ALVORADA;ALVORADA;2021-04-01;30480
RS;NOVO HAMBURGO;NOVO HAMBURGO;2021-04-01;17650
MG;BETIM;BETIM;2019-08-01;2558
MG;CATAGUASES;CATAGUASES;2021-02-01;3486
DF;BRASILIA;NUCLEO BANDEIRANTE;2022-02-01;33
RS;ALVORADA;ALVORADA;2021-10-01;33305
RJ;CABO FRIO;CAMINHO DE BUZIOS;2019-06-01;70
SC;LAGES;LAGES;2022-02-01;13866
MG;DIVINOPOLIS;DIVINOPOLIS;2019-11-01;10155
PR;LONDRINA;LONDRINA;2020-06-01;74
AM;MANAUS;MANAUS;2021-02-01;48572
MG;POCOS DE CALDAS;POCOS DE CALDAS;2020-11-01;6549
RJ;PETROPOLIS;JARDIM ARARAS;2021-05-01;368
PA;BELEM;BELEM;2019-05-01;2
BA;SALVADOR;SALVADOR;2020-02-01;40941
SC;CRICIUMA;CIDADE MINEIRA;2021-06-01;5
BA;BARREIRAS;BARREIRAS;2021-03-01;12494
RO;VILHENA;VILHENA;2021-12-01;7937
PR;CASCAVEL;CASCAVEL;2021-12-01;30546
RS;CANOAS;CANOAS;2021-11-01;44184
CE;FORTALEZA;FORTALEZA;2020-03-01;31198
MG;PATROCINIO;PATROCINIO;2020-12-01;5607
ES;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;2021-08-01;5102
AC;RIO BRANCO;RIO BRANCO;2021-02-01;30144
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2019-09-01;1
DF;BRASILIA;RIACHO FUNDO;2021-04-01;1452
RJ;SAO GONCALO;SAO GONCALO;2018-08-01;315
SC;TUBARAO;TUBARAO;2021-12-01;4886
PA;BELEM;BELEM;2021-12-01;76793
GO;NOVO GAMA;NOVO GAMA;2021-08-01;672
PR;MARINGA;MARINGA;2021-07-01;32281
MG;BETIM;BETIM;2021-11-01;24793
RS;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;2022-01-01;9666
RJ;VOLTA REDONDA;VOLTA REDONDA;2019-09-01;3331
MG;LEOPOLDINA;LEOPOLDINA;2021-05-01;3376
RJ;CASIMIRO DE ABREU;CASIMIRO DE ABREU;2021-11-01;731
MG;ARAGUARI;ARAGUARI;2020-01-01;6718
MG;MONTES CLAROS;MONTES CLAROS;2019-04-01;2149
MG;DIVINOPOLIS;DIVINOPOLIS;2019-04-01;5021
GO;RIO VERDE;RIO VERDE;2021-06-01;7523
RJ;SAO JOAO DE MERITI;VILAR DOS TELES;2022-01-01;31906
MG;BELO HORIZONTE;BELO HORIZONTE;2020-02-01;19814
RJ;CABO FRIO;UNAMAR;2021-01-01;4208
RJ;PETROPOLIS;PETROPOLIS;2019-07-01;11667
ES;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;2021-12-01;6334
PR;COLOMBO;MARACANA;2021-12-01;156
SC;TUBARAO;TUBARAO;2021-08-01;4520
PR;PINHAIS;PINHAIS;2020-07-01;3906
PR;QUATRO BARRAS;QUATRO BARRAS;2022-02-01;1
GO;GOIANIA;GOIANIA;2022-01-01;66048
PR;CASCAVEL;CASCAVEL;2021-01-01;14448
SC;GAROPABA;GAROPABA;2021-11-01;131
MG;LEOPOLDINA;LEOPOLDINA;2021-10-01;3646
DF;BRASILIA;CEILANDIA;2021-10-01;45500
MG;POCOS DE CALDAS;POCOS DE CALDAS;2020-05-01;4301
RS;NOVO HAMBURGO;NOVO HAMBURGO;2020-04-01;5255
GO;RIO VERDE;RIO VERDE;2020-07-01;970
RJ;QUEIMADOS;QUEIMADOS;2019-11-01;468
MG;GOVERNADOR VALADARES;GOVERNADOR VALADARES;2020-03-01;4483
RJ;SAO GONCALO;SAO GONCALO;2021-12-01;21922
RJ;DUQUE DE CAXIAS;CAMPOS ELYSEOS;2022-02-01;1
ES;VITORIA;VITORIA;2020-12-01;7635
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2020-05-01;8255
MG;GOVERNADOR VALADARES;GOVERNADOR VALADARES;2021-05-01;8568
MG;SETE LAGOAS;SETE LAGOAS;2020-01-01;8241
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2020-11-01;59381
CE;MARACANAU;MARACANAU;2021-10-01;321
MG;BELO HORIZONTE;BELO HORIZONTE;2020-07-01;34848
DF;BRASILIA;BRASILIA;2021-07-01;36142
RS;PORTO ALEGRE;PORTO ALEGRE;2019-11-01;5554
PR;PONTA GROSSA;PONTA GROSSA;2021-08-01;31722
RJ;PETROPOLIS;PEDRO DO RIO;2020-10-01;4
MT;SINOP;SINOP;2020-11-01;5528
PR;COLOMBO;MARACANA;2021-08-01;175
MG;VARGINHA;VARGINHA;2020-10-01;8679
MT;RONDONOPOLIS;RONDONOPOLIS;2021-05-01;30941
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2019-11-01;18767
RS;PELOTAS;PELOTAS;2020-09-01;5773
PR;PINHAIS;PINHAIS;2021-06-01;19201
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2019-04-01;2773
RJ;ITAGUAI;ITAGUAI;2020-11-01;6463
PE;CARUARU;CARUARU;2020-08-01;6505
MG;UBA;UBA;2022-02-01;14328
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2021-07-01;5098
RJ;SAO JOAO DE MERITI;VILAR DOS TELES;2021-01-01;34085
MA;SAO LUIS;SAO LUIS;2019-11-01;13689
RS;SANTA MARIA;SANTA MARIA;2020-03-01;175
MG;JUIZ DE FORA;JUIZ DE FORA;2021-05-01;26784
MA;SANTA INES;SANTA INES;2020-02-01;3
MG;LAGOA SANTA;LAGOA SANTA;2022-02-01;2
MG;GOVERNADOR VALADARES;GOVERNADOR VALADARES;2021-10-01;8097
RN;NATAL;NATAL;2021-10-01;12871
SC;NAVEGANTES;NAVEGANTES;2021-11-01;715
MG;POCOS DE CALDAS;POCOS DE CALDAS;2021-11-01;10491
RS;PELOTAS;PELOTAS;2021-11-01;16791
RS;ALVORADA;ALVORADA;2020-01-01;14071
MG;RIBEIRAO DAS NEVES;JUSTINOPOLIS;2020-12-01;38
MS;DOURADOS;DOURADOS;2020-06-01;18668
MA;SANTA INES;SANTA INES;2020-07-01;1236
PR;COLOMBO;MARACANA;2019-10-01;2
RJ;SAO GONCALO;SAO GONCALO;2019-02-01;2134
MG;POCOS DE CALDAS;POCOS DE CALDAS;2018-11-01;557
MG;SAO LOURENCO;SAO LOURENCO;2021-07-01;750
DF;BRASILIA;SANTA MARIA;2020-12-01;4
RS;PORTO ALEGRE;PORTO ALEGRE;2020-11-01;18794
PR;FLORESTA;FLORESTA;2022-01-01;415
SC;BLUMENAU;BLUMENAU;2021-10-01;25842
DF;BRASILIA;TAGUATINGA;2019-09-01;26
BA;JUAZEIRO;JUAZEIRO;2019-12-01;2327
PE;RECIFE;RECIFE;2018-11-01;315
DF;BRASILIA;TAGUATINGA;2021-03-01;20092
PR;SAO JOSE DOS PINHAIS;BORDA DO CAMPO DE SAO SEBASTIAO;2022-01-01;22
DF;BRASILIA;TAGUATINGA;2020-02-01;5
MT;CUIABA;CUIABA;2020-01-01;1
RJ;QUEIMADOS;QUEIMADOS;2020-11-01;8290
ES;CARIACICA;ITAQUARI;2021-10-01;224
PR;RIBEIRAO DO PINHAL;RIBEIRAO DO PINHAL;2022-01-01;374
MG;UBA;UBA;2021-03-01;12847
AM;MANAUS;MANAUS;2019-09-01;8179
SC;FLORIANOPOLIS;FLORIANOPOLIS;2020-09-01;3608
RJ;NITEROI;NITEROI;2020-09-01;21081
RS;CAXIAS DO SUL;CAXIAS DO SUL;2021-07-01;32016
BA;JACOBINA;JACOBINA;2020-11-01;1362
RJ;BARRA MANSA;BARRA MANSA;2021-12-01;3385
RR;BOA VISTA;BOA VISTA;2020-11-01;37224
PA;ANANINDEUA;ANANINDEUA;2019-05-01;495
SC;LAGES;LAGES;2021-08-01;12456
PR;CURITIBA;CURITIBA;2021-12-01;122614
PA;ANANINDEUA;ANANINDEUA;2021-07-01;17776
RJ;VOLTA REDONDA;VOLTA REDONDA;2019-08-01;1868
SC;LAURENTINO;LAURENTINO;2021-05-01;1
SC;BLUMENAU;BLUMENAU;2020-12-01;14835
GO;RIO VERDE;RIO VERDE;2020-08-01;1232
SC;LAGES;LAGES;2022-01-01;13728
SC;LAGES;LAGES;2020-04-01;487
BA;SALVADOR;SALVADOR;2020-08-01;62376
GO;MORRINHOS;MORRINHOS;2021-02-01;1701
PR;CASCAVEL;CASCAVEL;2020-10-01;8933
ES;CARIACICA;ITAQUARI;2021-02-01;28
BA;JEQUIE;JEQUIE;2021-07-01;6313
ES;NOVA VENECIA;NOVA VENECIA;2021-04-01;3341
MT;SINOP;SINOP;2020-04-01;766
PR;PINHAIS;PINHAIS;2020-05-01;1044
AM;MANAUS;MANAUS;2021-10-01;66492
RJ;NILOPOLIS;NILOPOLIS;2022-02-01;28774
