UF;CIDADE;CIDADE_SIEBEL;ENCERRAMENTO;QTE
AC;RIO BRANCO;RIO BRANCO;2021-06-01;35142
BA;ITABUNA;ITABUNA;2020-03-01;215
RS;PELOTAS;PELOTAS;2022-01-01;17528
MG;POUSO ALEGRE;POUSO ALEGRE;2018-12-01;945
MG;CONTAGEM;CONTAGEM;2020-06-01;1559
DF;BRASILIA;BRASILIA;2021-08-01;37626
PI;PIRIPIRI;PIRIPIRI;2021-02-01;197
RJ;PETROPOLIS;PETROPOLIS;2021-03-01;33133
MG;SAO LOURENCO;SAO LOURENCO;2021-12-01;2615
RS;PORTO ALEGRE;PORTO ALEGRE;2018-10-01;84
SC;CHAPECO;CHAPECO;2021-06-01;4037
RS;CAXIAS DO SUL;CAXIAS DO SUL;2019-10-01;1021
SE;ARACAJU;ARACAJU;2020-08-01;1546
MS;DOURADOS;DOURADOS;2020-07-01;20465
BA;SALVADOR;SALVADOR;2018-08-01;101
RS;GARIBALDI;GARIBALDI;2022-01-01;1016
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2021-08-01;5176
DF;BRASILIA;BRASILIA;2019-02-01;730
RJ;PETROPOLIS;ITAIPAVA;2021-07-01;2323
ES;SERRA;JACARAIPE;2021-03-01;1
PR;TELEMACO BORBA;TELEMACO BORBA;2022-02-01;2282
PR;FOZ DO IGUACU;FOZ DO IGUACU;2021-12-01;7912
PR;SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS;2021-08-01;55472
SC;CHAPECO;CHAPECO;2020-09-01;1802
SC;RIO DO SUL;RIO DO SUL;2019-12-01;1838
RS;SANTA MARIA;SANTA MARIA;2021-07-01;23563
MG;MONTES CLAROS;MONTES CLAROS;2018-12-01;344
MG;NOVA LIMA;NOVA LIMA;2019-02-01;1179
PA;ANANINDEUA;ANANINDEUA;2019-08-01;2361
ES;SERRA;SERRA;2020-07-01;802
RJ;MANGARATIBA;PORTO BELO;2020-12-01;179
MG;DIVINOPOLIS;DIVINOPOLIS;2019-06-01;6695
GO;MORRINHOS;MORRINHOS;2021-03-01;1862
RJ;ARARUAMA;ARARUAMA;2021-09-01;1154
GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;2020-08-01;2552
RJ;CABO FRIO;UNAMAR;2021-05-01;4088
AC;RIO BRANCO;RIO BRANCO;2021-10-01;38480
RJ;BARRA MANSA;BARRA MANSA;2021-06-01;3355
MG;BELO HORIZONTE;BELO HORIZONTE;2019-10-01;10745
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2021-04-01;70639
BA;JACOBINA;JACOBINA;2021-10-01;1757
MG;SABARA;SABARA;2021-08-01;1
GO;ANAPOLIS;ANAPOLIS;2020-12-01;1778
RS;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;2020-02-01;1
MG;BETIM;BETIM;2020-01-01;7145
MG;NOVA LIMA;SERRA DEL REI;2021-04-01;381
SC;BRUSQUE;BRUSQUE;2020-11-01;5046
ES;SERRA;SERRA;2020-08-01;1674
AP;MACAPA;MACAPA;2021-01-01;19879
MG;PATROCINIO;PATROCINIO;2019-11-01;1758
DF;BRASILIA;SANTA MARIA;2021-03-01;6
